DATUM,STATIONS_ID,MESS_DATUM,QN_952,SD_DUETT,SD_UN_DUETT,eor
2024-04-18 21:00:00,18379,2024041821,500,0,0,eor
2024-04-18 22:00:00,18379,2024041822,500,0,0,eor
2024-04-18 23:00:00,18379,2024041823,500,0,0,eor
2024-04-19 00:00:00,18379,2024041900,500,0,0,eor
2024-04-19 01:00:00,18379,2024041901,500,0,0,eor
2024-04-19 02:00:00,18379,2024041902,500,0,0,eor
2024-04-19 03:00:00,18379,2024041903,500,0,0,eor
2024-04-19 04:00:00,18379,2024041904,500,0,0,eor
2024-04-19 05:00:00,18379,2024041905,502,0,0,eor
2024-04-19 06:00:00,18379,2024041906,503,0,0,eor
2024-04-19 07:00:00,18379,2024041907,503,0,0,eor
2024-04-19 08:00:00,18379,2024041908,503,0,0,eor
2024-04-19 09:00:00,18379,2024041909,503,0,0,eor
2024-04-19 10:00:00,18379,2024041910,503,0,0,eor
2024-04-19 11:00:00,18379,2024041911,503,0,0,eor
2024-04-19 12:00:00,18379,2024041912,503,0,0,eor
